dcode,dname,fiscalYear,userId,cropname,cropcode,areaunit,area,productionunit,production
2,Panchthar,2061/2062,58,Barley,,1,532,6,570
2,Panchthar,2062/2063,58,Barley,,1,519,6,674
2,Panchthar,2063/2064,58,Barley,,1,519,6,674
2,Panchthar,2064/2065,58,Barley,,1,515,6,515
2,Panchthar,2065/2066,58,Barley,,1,515,6,515
2,Panchthar,2066/2067,58,Barley,,1,500,6,600
2,Panchthar,2067/2068,58,Barley,,1,494,6,593
2,Panchthar,2068/2069,58,Barley,,1,460,6,552
2,Panchthar,2069/2070,58,Barley,,1,450,6,500
2,Panchthar,2070/2071,58,Barley,,1,400,6,450
2,Panchthar,2055/2056,58,Buckwheat,,1,,6,
2,Panchthar,2056/2057,58,Buckwheat,,1,,6,
2,Panchthar,2057/2058,58,Buckwheat,,1,,6,
2,Panchthar,2058/2059,58,Buckwheat,,1,,6,
2,Panchthar,2059/2060,58,Buckwheat,,1,,6,
2,Panchthar,2060/2061,58,Buckwheat,,1,,6,
2,Panchthar,2061/2062,58,Buckwheat,,1,,6,
2,Panchthar,2062/2063,58,Buckwheat,,1,,6,
2,Panchthar,2063/2064,58,Buckwheat,,1,,6,
2,Panchthar,2064/2065,58,Buckwheat,,1,,6,
2,Panchthar,2065/2066,58,Buckwheat,,1,,6,
2,Panchthar,2066/2067,58,Buckwheat,,1,60,6,42
2,Panchthar,2067/2068,58,Buckwheat,,1,60,6,42
2,Panchthar,2068/2069,58,Buckwheat,,1,56,6,36
2,Panchthar,2069/2070,58,Buckwheat,,1,56,6,36
2,Panchthar,2070/2071,58,Buckwheat,,1,56,6,36
2,Panchthar,2055/2056,58,Maize,,1,14250,6,27118
2,Panchthar,2056/2057,58,Maize,,1,14138,6,26155
2,Panchthar,2057/2058,58,Maize,,1,14151,6,16681
2,Panchthar,2058/2059,58,Maize,,1,14151,6,16681
2,Panchthar,2059/2060,58,Maize,,1,14151,6,16681
2,Panchthar,2060/2061,58,Maize,,1,14154,6,21231
2,Panchthar,2061/2062,58,Maize,,1,14154,6,21231
2,Panchthar,2062/2063,58,Maize,,1,14154,6,21231
2,Panchthar,2063/2064,58,Maize,,1,14160,6,22089
2,Panchthar,2064/2065,58,Maize,,1,14160,6,22133
2,Panchthar,2065/2066,58,Maize,,1,14150,6,21225
2,Panchthar,2066/2067,58,Maize,,1,14155,6,21233
2,Panchthar,2067/2068,58,Maize,,1,12800,6,21760
2,Panchthar,2068/2069,58,Maize,,1,8000,6,12240
2,Panchthar,2069/2070,58,Maize,,1,18627,6,29931
2,Panchthar,2070/2071,58,Maize,,1,18432,6,30412
2,Panchthar,2055/2056,58,Millet,,1,5953,6,9703
2,Panchthar,2056/2057,58,Millet,,1,5955,6,7421
2,Panchthar,2057/2058,58,Millet,,1,5975,6,7170
2,Panchthar,2058/2059,58,Millet,,1,5975,6,7170
2,Panchthar,2059/2060,58,Millet,,1,5975,6,7170
2,Panchthar,2060/2061,58,Millet,,1,5978,6,8564
2,Panchthar,2061/2062,58,Millet,,1,5978,6,7965
2,Panchthar,2062/2063,58,Millet,,1,5978,6,7700
2,Panchthar,2063/2064,58,Millet,,1,5992,6,7790
2,Panchthar,2064/2065,58,Millet,,1,5992,6,7750
2,Panchthar,2065/2066,58,Millet,,1,4911,6,7150
2,Panchthar,2066/2067,58,Millet,,1,5000,6,8350
2,Panchthar,2067/2068,58,Millet,,1,5000,6,9350
2,Panchthar,2068/2069,58,Millet,,1,5000,6,9350
2,Panchthar,2069/2070,58,Millet,,1,4805,6,9046
2,Panchthar,2070/2071,58,Millet,,1,4750,6,8980
2,Panchthar,2055/2056,58,Paddy,,1,10409,6,23150
2,Panchthar,2056/2057,58,Paddy,,1,6730,6,12501
2,Panchthar,2057/2058,58,Paddy,,1,10480,6,22010
2,Panchthar,2058/2059,58,Paddy,,1,10480,6,22010
2,Panchthar,2059/2060,58,Paddy,,1,10480,6,22010
2,Panchthar,2060/2061,58,Paddy,,1,10388,6,20776
2,Panchthar,2061/2062,58,Paddy,,1,10388,6,20776
2,Panchthar,2062/2063,58,Paddy,,1,8854,6,15800
2,Panchthar,2063/2064,58,Paddy,,1,8854,6,15800
2,Panchthar,2064/2065,58,Paddy,,1,8854,6,15879
2,Panchthar,2065/2066,58,Paddy,,1,8400,6,15000
2,Panchthar,2066/2067,58,Paddy,,1,10400,6,21840
2,Panchthar,2067/2068,58,Paddy,,1,11500,6,23000
2,Panchthar,2068/2069,58,Paddy,,1,11300,6,22600
2,Panchthar,2069/2070,58,Paddy,,1,10322,6,30127
2,Panchthar,2070/2071,58,Paddy,,1,9200,6,20240
2,Panchthar,2055/2056,58,Wheat,,1,4091,6,7520
2,Panchthar,2056/2057,58,Wheat,,1,4097,6,4970
2,Panchthar,2057/2058,58,Wheat,,1,4100,6,5720
2,Panchthar,2058/2059,58,Wheat,,1,4100,6,5900
2,Panchthar,2059/2060,58,Wheat,,1,4100,6,5900
2,Panchthar,2060/2061,58,Wheat,,1,4100,6,7380
2,Panchthar,2061/2062,58,Wheat,,1,4100,6,7000
2,Panchthar,2062/2063,58,Wheat,,1,4115,6,7410
2,Panchthar,2063/2064,58,Wheat,,1,4115,6,7410
2,Panchthar,2064/2065,58,Wheat,,1,4130,6,6300
2,Panchthar,2065/2066,58,Wheat,,1,4130,6,6300
2,Panchthar,2066/2067,58,Wheat,,1,4000,6,7400
2,Panchthar,2067/2068,58,Wheat,,1,4000,6,7580
2,Panchthar,2068/2069,58,Wheat,,1,3995,6,7632
2,Panchthar,2069/2070,58,Wheat,,1,3120,6,6732
2,Panchthar,2070/2071,58,Wheat,,1,3912,6,6494
3,Ilam,2055/2056,57,Barley,,1,90,6,80
3,Ilam,2056/2057,57,Barley,,1,71,6,71
3,Ilam,2057/2058,57,Barley,,1,71,6,71
3,Ilam,2058/2059,57,Barley,,1,70,6,70
3,Ilam,2059/2060,57,Barley,,1,70,6,70
3,Ilam,2060/2061,57,Barley,,1,72,6,72
3,Ilam,2061/2062,57,Barley,,1,72,6,72
3,Ilam,2062/2063,57,Barley,,1,75,6,75
3,Ilam,2063/2064,57,Barley,,1,75,6,75
3,Ilam,2064/2065,57,Barley,,1,75,6,75
3,Ilam,2065/2066,57,Barley,,1,75,6,75
3,Ilam,2066/2067,57,Barley,,1,75,6,75
3,Ilam,2067/2068,57,Barley,,1,55,6,55
3,Ilam,2068/2069,57,Barley,,1,55,6,50
3,Ilam,2069/2070,57,Barley,,1,50,6,50
3,Ilam,2070/2071,57,Barley,,1,50,6,50
3,Ilam,2055/2056,57,Buckwheat,,1,,6,
3,Ilam,2056/2057,57,Buckwheat,,1,,6,
3,Ilam,2057/2058,57,Buckwheat,,1,,6,
3,Ilam,2058/2059,57,Buckwheat,,1,,6,
3,Ilam,2059/2060,57,Buckwheat,,1,,6,
3,Ilam,2060/2061,57,Buckwheat,,1,,6,
3,Ilam,2061/2062,57,Buckwheat,,1,,6,
3,Ilam,2062/2063,57,Buckwheat,,1,,6,
3,Ilam,2063/2064,57,Buckwheat,,1,,6,
3,Ilam,2064/2065,57,Buckwheat,,1,,6,
3,Ilam,2065/2066,57,Buckwheat,,1,,6,
3,Ilam,2066/2067,57,Buckwheat,,1,28,6,20
3,Ilam,2067/2068,57,Buckwheat,,1,28,6,20
3,Ilam,2068/2069,57,Buckwheat,,1,25,6,17
3,Ilam,2069/2070,57,Buckwheat,,1,25,6,20
3,Ilam,2070/2071,57,Buckwheat,,1,25,6,20
3,Ilam,2055/2056,57,Maize,,1,23480,6,44612
3,Ilam,2056/2057,57,Maize,,1,24335,6,43681
3,Ilam,2057/2058,57,Maize,,1,24500,6,44350
3,Ilam,2058/2059,57,Maize,,1,24500,6,44350
3,Ilam,2059/2060,57,Maize,,1,24500,6,44350
3,Ilam,2060/2061,57,Maize,,1,24500,6,46550
3,Ilam,2061/2062,57,Maize,,1,22927,6,42415
3,Ilam,2062/2063,57,Maize,,1,23470,6,46940
3,Ilam,2063/2064,57,Maize,,1,23480,6,57526
3,Ilam,2064/2065,57,Maize,,1,23480,6,57526
3,Ilam,2065/2066,57,Maize,,1,23480,6,58500
3,Ilam,2066/2067,57,Maize,,1,31480,6,77500
3,Ilam,2067/2068,57,Maize,,1,31480,6,77500
3,Ilam,2068/2069,57,Maize,,1,31480,6,78385
3,Ilam,2069/2070,57,Maize,,1,28200,6,69654
3,Ilam,2070/2071,57,Maize,,1,31395,6,111452
3,Ilam,2055/2056,57,Millet,,1,4030,6,4030
3,Ilam,2056/2057,57,Millet,,1,3290,6,3290
3,Ilam,2057/2058,57,Millet,,1,3213,6,3373
3,Ilam,2058/2059,57,Millet,,1,3213,6,3373
3,Ilam,2059/2060,57,Millet,,1,3213,6,3373
3,Ilam,2060/2061,57,Millet,,1,3290,6,3290
3,Ilam,2061/2062,57,Millet,,1,3290,6,3390
3,Ilam,2062/2063,57,Millet,,1,3312,6,3312
3,Ilam,2063/2064,57,Millet,,1,3314,6,2884
3,Ilam,2064/2065,57,Millet,,1,3314,6,2884
3,Ilam,2065/2066,57,Millet,,1,3312,6,3612
3,Ilam,2066/2067,57,Millet,,1,3312,6,3312
3,Ilam,2067/2068,57,Millet,,1,3000,6,3000
3,Ilam,2068/2069,57,Millet,,1,3000,6,2670
3,Ilam,2069/2070,57,Millet,,1,3000,6,3000
3,Ilam,2070/2071,57,Millet,,1,1700,6,1700
3,Ilam,2055/2056,57,Paddy,,1,13550,6,27000
3,Ilam,2056/2057,57,Paddy,,1,12405,6,20851
3,Ilam,2057/2058,57,Paddy,,1,13605,6,28800
3,Ilam,2058/2059,57,Paddy,,1,13605,6,28800
3,Ilam,2059/2060,57,Paddy,,1,13605,6,28800
3,Ilam,2060/2061,57,Paddy,,1,14471,6,31966
3,Ilam,2061/2062,57,Paddy,,1,14625,6,35538
3,Ilam,2062/2063,57,Paddy,,1,12091,6,29500
3,Ilam,2063/2064,57,Paddy,,1,12304,6,28299
3,Ilam,2064/2065,57,Paddy,,1,13200,6,36300
3,Ilam,2065/2066,57,Paddy,,1,13084,6,35914
3,Ilam,2066/2067,57,Paddy,,1,14825,6,45690
3,Ilam,2067/2068,57,Paddy,,1,14825,6,45690
3,Ilam,2068/2069,57,Paddy,,1,14815,6,45185
3,Ilam,2069/2070,57,Paddy,,1,14185,6,44966
3,Ilam,2070/2071,57,Paddy,,1,12593,6,31230
3,Ilam,2055/2056,57,Wheat,,1,4777,6,7882
3,Ilam,2056/2057,57,Wheat,,1,4592,6,8081
3,Ilam,2057/2058,57,Wheat,,1,4607,6,8062
3,Ilam,2058/2059,57,Wheat,,1,4600,6,8050
3,Ilam,2059/2060,57,Wheat,,1,4600,6,8050
3,Ilam,2060/2061,57,Wheat,,1,4708,6,8945
3,Ilam,2061/2062,57,Wheat,,1,4708,6,8500
3,Ilam,2062/2063,57,Wheat,,1,4735,6,9020
3,Ilam,2063/2064,57,Wheat,,1,4735,6,10627
3,Ilam,2064/2065,57,Wheat,,1,4735,6,8250
3,Ilam,2065/2066,57,Wheat,,1,4735,6,9050
3,Ilam,2066/2067,57,Wheat,,1,4800,6,13365
3,Ilam,2067/2068,57,Wheat,,1,4620,6,13398
3,Ilam,2068/2069,57,Wheat,,1,4700,6,12960
3,Ilam,2069/2070,57,Wheat,,1,4697,6,12350
3,Ilam,2070/2071,57,Wheat,,1,4620,6,15338
4,Jhapa,2055/2056,17,Barley,,1,50,6,60
4,Jhapa,2056/2057,17,Barley,,1,50,6,60
4,Jhapa,2057/2058,17,Barley,,1,50,6,60
4,Jhapa,2058/2059,17,Barley,,1,11,6,11
4,Jhapa,2059/2060,17,Barley,,1,11,6,11
4,Jhapa,2060/2061,17,Barley,,1,10,6,10
4,Jhapa,2061/2062,17,Barley,,1,100,6,110
4,Jhapa,2062/2063,17,Barley,,1,11,6,22
4,Jhapa,2063/2064,17,Barley,,1,10,6,10
4,Jhapa,2064/2065,17,Barley,,1,10,6,10
4,Jhapa,2065/2066,17,Barley,,1,8,6,6
4,Jhapa,2066/2067,17,Barley,,1,9,6,7
4,Jhapa,2067/2068,17,Barley,,1,8,6,6
4,Jhapa,2068/2069,17,Barley,,1,8,6,6
4,Jhapa,2069/2070,17,Barley,,1,6,6,6
4,Jhapa,2070/2071,17,Barley,,1,6,6,6
4,Jhapa,2055/2056,17,Buckwheat,,1,,6,
4,Jhapa,2056/2057,17,Buckwheat,,1,,6,
4,Jhapa,2057/2058,17,Buckwheat,,1,,6,
4,Jhapa,2058/2059,17,Buckwheat,,1,,6,
4,Jhapa,2059/2060,17,Buckwheat,,1,,6,
4,Jhapa,2060/2061,17,Buckwheat,,1,,6,
4,Jhapa,2061/2062,17,Buckwheat,,1,,6,
4,Jhapa,2062/2063,17,Buckwheat,,1,,6,
4,Jhapa,2063/2064,17,Buckwheat,,1,,6,
4,Jhapa,2064/2065,17,Buckwheat,,1,,6,
4,Jhapa,2065/2066,17,Buckwheat,,1,,6,
4,Jhapa,2066/2067,17,Buckwheat,,1,1300,6,1300
4,Jhapa,2067/2068,17,Buckwheat,,1,1300,6,1300
4,Jhapa,2068/2069,17,Buckwheat,,1,1265,6,1265
4,Jhapa,2069/2070,17,Buckwheat,,1,1270,6,1270
4,Jhapa,2070/2071,17,Buckwheat,,1,1270,6,1270
4,Jhapa,2055/2056,17,Maize,,1,20100,6,38190
4,Jhapa,2056/2057,17,Maize,,1,21055,6,42110
4,Jhapa,2057/2058,17,Maize,,1,21150,6,42300
4,Jhapa,2058/2059,17,Maize,,1,21150,6,42300
4,Jhapa,2059/2060,17,Maize,,1,21150,6,42300
4,Jhapa,2060/2061,17,Maize,,1,22000,6,44000
4,Jhapa,2061/2062,17,Maize,,1,22250,6,47838
4,Jhapa,2062/2063,17,Maize,,1,21700,6,54250
4,Jhapa,2063/2064,17,Maize,,1,22550,6,56627
4,Jhapa,2064/2065,17,Maize,,1,22600,6,58600
4,Jhapa,2065/2066,17,Maize,,1,22600,6,58600
4,Jhapa,2066/2067,17,Maize,,1,24600,6,62310
4,Jhapa,2067/2068,17,Maize,,1,24600,6,72460
4,Jhapa,2068/2069,17,Maize,,1,36185,6,82140
4,Jhapa,2069/2070,17,Maize,,1,36850,6,95000
4,Jhapa,2070/2071,17,Maize,,1,35500,6,92000
4,Jhapa,2055/2056,17,Millet,,1,1800,6,1800
4,Jhapa,2056/2057,17,Millet,,1,2000,6,2000
4,Jhapa,2057/2058,17,Millet,,1,2000,6,2000
4,Jhapa,2058/2059,17,Millet,,1,2000,6,2000
4,Jhapa,2059/2060,17,Millet,,1,2000,6,2000
4,Jhapa,2060/2061,17,Millet,,1,1950,6,1950
4,Jhapa,2061/2062,17,Millet,,1,2150,6,2150
4,Jhapa,2062/2063,17,Millet,,1,2200,6,2340
4,Jhapa,2063/2064,17,Millet,,1,2100,6,2100
4,Jhapa,2064/2065,17,Millet,,1,2000,6,2000
4,Jhapa,2065/2066,17,Millet,,1,1800,6,2160
4,Jhapa,2066/2067,17,Millet,,1,1800,6,2160
4,Jhapa,2067/2068,17,Millet,,1,1800,6,2160
4,Jhapa,2068/2069,17,Millet,,1,1785,6,1785
4,Jhapa,2069/2070,17,Millet,,1,1750,6,1800
4,Jhapa,2070/2071,17,Millet,,1,1780,6,2136
4,Jhapa,2055/2056,17,Paddy,,1,91518,6,292858
4,Jhapa,2056/2057,17,Paddy,,1,84214,6,247680
4,Jhapa,2057/2058,17,Paddy,,1,92150,6,290660
4,Jhapa,2058/2059,17,Paddy,,1,92100,6,298600
4,Jhapa,2059/2060,17,Paddy,,1,92100,6,298600
4,Jhapa,2060/2061,17,Paddy,,1,96875,6,314844
4,Jhapa,2061/2062,17,Paddy,,1,96800,6,311690
4,Jhapa,2062/2063,17,Paddy,,1,81000,6,243290
4,Jhapa,2063/2064,17,Paddy,,1,96161,6,312523
4,Jhapa,2064/2065,17,Paddy,,1,96700,6,322640
4,Jhapa,2065/2066,17,Paddy,,1,80000,6,264000
4,Jhapa,2066/2067,17,Paddy,,1,82400,6,271920
4,Jhapa,2067/2068,17,Paddy,,1,89400,6,321840
4,Jhapa,2068/2069,17,Paddy,,1,86700,6,320790
4,Jhapa,2069/2070,17,Paddy,,1,88500,6,365250
4,Jhapa,2070/2071,17,Paddy,,1,83200,6,337792
4,Jhapa,2055/2056,17,Wheat,,1,12700,6,28750
4,Jhapa,2056/2057,17,Wheat,,1,16500,6,35650
4,Jhapa,2057/2058,17,Wheat,,1,16511,6,35650
4,Jhapa,2058/2059,17,Wheat,,1,15100,6,32280
4,Jhapa,2059/2060,17,Wheat,,1,15100,6,32280
4,Jhapa,2060/2061,17,Wheat,,1,15500,6,44950
4,Jhapa,2061/2062,17,Wheat,,1,15700,6,39250
4,Jhapa,2062/2063,17,Wheat,,1,17000,6,44200
4,Jhapa,2063/2064,17,Wheat,,1,15000,6,43500
4,Jhapa,2064/2065,17,Wheat,,1,15000,6,36500
4,Jhapa,2065/2066,17,Wheat,,1,14000,6,34000
4,Jhapa,2066/2067,17,Wheat,,1,11500,6,24150
4,Jhapa,2067/2068,17,Wheat,,1,7500,6,25150
4,Jhapa,2068/2069,17,Wheat,,1,6500,6,21750
4,Jhapa,2069/2070,17,Wheat,,1,7000,6,22540
4,Jhapa,2070/2071,17,Wheat,,1,8050,6,24150
5,Morang,2055/2056,61,Barley,,1,,6,
5,Morang,2056/2057,61,Barley,,1,,6,
5,Morang,2057/2058,61,Barley,,1,,6,
5,Morang,2058/2059,61,Barley,,1,27,6,41
5,Morang,2059/2060,61,Barley,,1,27,6,41
5,Morang,2060/2061,61,Barley,,1,,6,
5,Morang,2061/2062,61,Barley,,1,,6,
5,Morang,2062/2063,61,Barley,,1,,6,
5,Morang,2063/2064,61,Barley,,1,,6,
5,Morang,2064/2065,61,Barley,,1,,6,
5,Morang,2065/2066,61,Barley,,1,,6,
5,Morang,2066/2067,61,Barley,,1,,6,
5,Morang,2067/2068,61,Barley,,1,,6,
5,Morang,2068/2069,61,Barley,,1,,6,
5,Morang,2069/2070,61,Barley,,1,,6,
5,Morang,2070/2071,61,Barley,,1,,6,
5,Morang,2055/2056,61,Buckwheat,,1,,6,
5,Morang,2056/2057,61,Buckwheat,,1,,6,
5,Morang,2057/2058,61,Buckwheat,,1,,6,
5,Morang,2058/2059,61,Buckwheat,,1,,6,
5,Morang,2059/2060,61,Buckwheat,,1,,6,
5,Morang,2060/2061,61,Buckwheat,,1,,6,
5,Morang,2061/2062,61,Buckwheat,,1,,6,
5,Morang,2062/2063,61,Buckwheat,,1,,6,
5,Morang,2063/2064,61,Buckwheat,,1,,6,
5,Morang,2064/2065,61,Buckwheat,,1,,6,
5,Morang,2065/2066,61,Buckwheat,,1,,6,
5,Morang,2066/2067,61,Buckwheat,,1,,6,
5,Morang,2067/2068,61,Buckwheat,,1,65,6,62
5,Morang,2068/2069,61,Buckwheat,,1,65,6,65
5,Morang,2069/2070,61,Buckwheat,,1,70,6,70
5,Morang,2070/2071,61,Buckwheat,,1,70,6,70
5,Morang,2055/2056,61,Maize,,1,14100,6,25380
5,Morang,2056/2057,61,Maize,,1,14005,6,22064
5,Morang,2057/2058,61,Maize,,1,14100,6,25520
5,Morang,2058/2059,61,Maize,,1,14100,6,25520
5,Morang,2059/2060,61,Maize,,1,14100,6,25520
5,Morang,2060/2061,61,Maize,,1,14925,6,29830
5,Morang,2061/2062,61,Maize,,1,15500,6,34940
5,Morang,2062/2063,61,Maize,,1,15000,6,31500
5,Morang,2063/2064,61,Maize,,1,15100,6,34175
5,Morang,2064/2065,61,Maize,,1,15170,6,35200
5,Morang,2065/2066,61,Maize,,1,19220,6,42130
5,Morang,2066/2067,61,Maize,,1,16100,6,45300
5,Morang,2067/2068,61,Maize,,1,15100,6,45300
5,Morang,2068/2069,61,Maize,,1,1630,6,5379
5,Morang,2069/2070,61,Maize,,1,15000,6,50000
5,Morang,2070/2071,61,Maize,,1,14200,6,48220
5,Morang,2055/2056,61,Millet,,1,1349,6,1510
5,Morang,2056/2057,61,Millet,,1,1340,6,1474
5,Morang,2057/2058,61,Millet,,1,1300,6,1500
5,Morang,2058/2059,61,Millet,,1,1300,6,1500
5,Morang,2059/2060,61,Millet,,1,1300,6,1500
5,Morang,2060/2061,61,Millet,,1,1395,6,1500
5,Morang,2061/2062,61,Millet,,1,1310,6,1637
5,Morang,2062/2063,61,Millet,,1,1325,6,1335
5,Morang,2063/2064,61,Millet,,1,1345,6,1604
5,Morang,2064/2065,61,Millet,,1,1415,6,1698
5,Morang,2065/2066,61,Millet,,1,1455,6,1746
5,Morang,2066/2067,61,Millet,,1,1430,6,1716
5,Morang,2067/2068,61,Millet,,1,1510,6,1812
5,Morang,2068/2069,61,Millet,,1,1510,6,1812
5,Morang,2069/2070,61,Millet,,1,1500,6,1800
5,Morang,2070/2071,61,Millet,,1,1510,6,1661
5,Morang,2055/2056,61,Paddy,,1,95000,6,924500
5,Morang,2056/2057,61,Paddy,,1,85000,6,263741
5,Morang,2057/2058,61,Paddy,,1,94789,6,294435
5,Morang,2058/2059,61,Paddy,,1,94790,6,311250
5,Morang,2059/2060,61,Paddy,,1,94790,6,311250
5,Morang,2060/2061,61,Paddy,,1,98000,6,321832
5,Morang,2061/2062,61,Paddy,,1,98070,6,305740
5,Morang,2062/2063,61,Paddy,,1,81360,6,242476
5,Morang,2063/2064,61,Paddy,,1,88290,6,273699
5,Morang,2064/2065,61,Paddy,,1,88200,6,279912
5,Morang,2065/2066,61,Paddy,,1,77120,6,244500
