dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,apaddy,ppaddy,ypaddy
6,Sunsari,1257,easter d,terai,2011/2012,paddy,53550,166000,3100
6,Sunsari,1257,easter d,terai,2012/2013,paddy,52550,160650,3057
6,Sunsari,1257,easter d,terai,2013/2014,paddy,51550,180200,3496
6,Sunsari,1257,easter d,terai,2014/2015,paddy,44940,161784,3600
7,Dhankuta,891,easter d,hill,2000/2001,paddy,7659,14197,1854
7,Dhankuta,891,easter d,hill,2001/2002,paddy,9774,25556,2615
7,Dhankuta,891,easter d,hill,2002/2003,paddy,9429,26645,2826
7,Dhankuta,891,easter d,hill,2003/2004,paddy,9429,26645,2826
7,Dhankuta,891,easter d,hill,2004/2005,paddy,9435,26663,2826
7,Dhankuta,891,easter d,hill,2005/2006,paddy,9435,26663,2826
7,Dhankuta,891,easter d,hill,2006/2007,paddy,8145,20750,2548
7,Dhankuta,891,easter d,hill,2007/2008,paddy,8695,23042,2650
7,Dhankuta,891,easter d,hill,2008/2009,paddy,8695,23770,2734
7,Dhankuta,891,easter d,hill,2009/2010,paddy,8650,23530,2720
7,Dhankuta,891,easter d,hill,2010/2011,paddy,9412,21957,2333
7,Dhankuta,891,easter d,hill,2011/2012,paddy,8877,19600,2208
7,Dhankuta,891,easter d,hill,2012/2013,paddy,8495,18859,2220
7,Dhankuta,891,easter d,hill,2013/2014,paddy,10660,24244,2274
7,Dhankuta,891,easter d,hill,2014/2015,paddy,7820,22434,2869
8,Terhathum,679,easter d,hill,2000/2001,paddy,8721,14243,1633
8,Terhathum,679,easter d,hill,2001/2002,paddy,11194,22579,2017
8,Terhathum,679,easter d,hill,2002/2003,paddy,11194,22579,2017
8,Terhathum,679,easter d,hill,2003/2004,paddy,11194,22579,2017
8,Terhathum,679,easter d,hill,2004/2005,paddy,10977,22349,2036
8,Terhathum,679,easter d,hill,2005/2006,paddy,10977,22349,2036
8,Terhathum,679,easter d,hill,2006/2007,paddy,9817,18500,1884
8,Terhathum,679,easter d,hill,2007/2008,paddy,10186,20372,2000
8,Terhathum,679,easter d,hill,2008/2009,paddy,10186,20372,2000
8,Terhathum,679,easter d,hill,2009/2010,paddy,10237,18656,1822
8,Terhathum,679,easter d,hill,2010/2011,paddy,9592,21102,2200
8,Terhathum,679,easter d,hill,2011/2012,paddy,10662,24523,2300
8,Terhathum,679,easter d,hill,2012/2013,paddy,10341,23784,2300
8,Terhathum,679,easter d,hill,2013/2014,paddy,10180,27576,2709
8,Terhathum,679,easter d,hill,2014/2015,paddy,7606,17494,2300
9,Sankhuwasabha,3480,easter d,mountain,2000/2001,paddy,10180,18270,1795
9,Sankhuwasabha,3480,easter d,mountain,2001/2002,paddy,11780,24267,2060
9,Sankhuwasabha,3480,easter d,mountain,2002/2003,paddy,11780,24267,2060
9,Sankhuwasabha,3480,easter d,mountain,2003/2004,paddy,11780,24267,2060
9,Sankhuwasabha,3480,easter d,mountain,2004/2005,paddy,15496,34091,2200
9,Sankhuwasabha,3480,easter d,mountain,2005/2006,paddy,15496,28674,1850
9,Sankhuwasabha,3480,easter d,mountain,2006/2007,paddy,15037,25030,1665
9,Sankhuwasabha,3480,easter d,mountain,2007/2008,paddy,15932,28677,1800
9,Sankhuwasabha,3480,easter d,mountain,2008/2009,paddy,15932,28677,1800
9,Sankhuwasabha,3480,easter d,mountain,2009/2010,paddy,13171,21732,1650
9,Sankhuwasabha,3480,easter d,mountain,2010/2011,paddy,15417,29816,1934
9,Sankhuwasabha,3480,easter d,mountain,2011/2012,paddy,15812,36600,2315
9,Sankhuwasabha,3480,easter d,mountain,2012/2013,paddy,15801,23701,1500
9,Sankhuwasabha,3480,easter d,mountain,2013/2014,paddy,13775,35458,2574
9,Sankhuwasabha,3480,easter d,mountain,2014/2015,paddy,13650,32660,2393
10,Bhojpur,1507,easter d,hill,2000/2001,paddy,15129,32470,2146
10,Bhojpur,1507,easter d,hill,2001/2002,paddy,18918,45750,2418
10,Bhojpur,1507,easter d,hill,2002/2003,paddy,18118,45750,2418
10,Bhojpur,1507,easter d,hill,2003/2004,paddy,18918,45750,2418
10,Bhojpur,1507,easter d,hill,2004/2005,paddy,12300,29741,2418
10,Bhojpur,1507,easter d,hill,2005/2006,paddy,12300,29741,2418
10,Bhojpur,1507,easter d,hill,2006/2007,paddy,12030,29064,2416
10,Bhojpur,1507,easter d,hill,2007/2008,paddy,15361,36866,2400
10,Bhojpur,1507,easter d,hill,2008/2009,paddy,15361,36866,2400
10,Bhojpur,1507,easter d,hill,2009/2010,paddy,15300,35600,2327
10,Bhojpur,1507,easter d,hill,2010/2011,paddy,16103,37633,2337
10,Bhojpur,1507,easter d,hill,2011/2012,paddy,16110,42341,2628
10,Bhojpur,1507,easter d,hill,2012/2013,paddy,16150,44299,2743
10,Bhojpur,1507,easter d,hill,2013/2014,paddy,17150,48340,2819
10,Bhojpur,1507,easter d,hill,2014/2015,paddy,16093,35893,2230
11,Solukhumbu,3312,easter d,mountain,2000/2001,paddy,1495,2642,1767
11,Solukhumbu,3312,easter d,mountain,2001/2002,paddy,1500,3100,2067
11,Solukhumbu,3312,easter d,mountain,2002/2003,paddy,1500,3100,2067
11,Solukhumbu,3312,easter d,mountain,2003/2004,paddy,1500,3100,2067
11,Solukhumbu,3312,easter d,mountain,2004/2005,paddy,1500,3100,2067
11,Solukhumbu,3312,easter d,mountain,2005/2006,paddy,1500,3000,2000
11,Solukhumbu,3312,easter d,mountain,2006/2007,paddy,1440,2526,1754
11,Solukhumbu,3312,easter d,mountain,2007/2008,paddy,1620,2916,1800
11,Solukhumbu,3312,easter d,mountain,2008/2009,paddy,1620,2916,1800
11,Solukhumbu,3312,easter d,mountain,2009/2010,paddy,1628,2999,1842
11,Solukhumbu,3312,easter d,mountain,2010/2011,paddy,1530,3060,2000
11,Solukhumbu,3312,easter d,mountain,2011/2012,paddy,1620,3564,2200
11,Solukhumbu,3312,easter d,mountain,2012/2013,paddy,1530,3366,2200
11,Solukhumbu,3312,easter d,mountain,2013/2014,paddy,1620,3564,2200
11,Solukhumbu,3312,easter d,mountain,2014/2015,paddy,1525,3564,2337
12,Okhaldhunga,1074,easter d,hill,2000/2001,paddy,6015,12915,2147
12,Okhaldhunga,1074,easter d,hill,2001/2002,paddy,6750,16880,2501
12,Okhaldhunga,1074,easter d,hill,2002/2003,paddy,6750,16880,2501
12,Okhaldhunga,1074,easter d,hill,2003/2004,paddy,6750,16880,2501
12,Okhaldhunga,1074,easter d,hill,2004/2005,paddy,6750,16882,2501
12,Okhaldhunga,1074,easter d,hill,2005/2006,paddy,6580,18424,2800
12,Okhaldhunga,1074,easter d,hill,2006/2007,paddy,5660,14150,2500
12,Okhaldhunga,1074,easter d,hill,2007/2008,paddy,5860,14943,2550
12,Okhaldhunga,1074,easter d,hill,2008/2009,paddy,5860,14943,2550
12,Okhaldhunga,1074,easter d,hill,2009/2010,paddy,5130,10850,2115
12,Okhaldhunga,1074,easter d,hill,2010/2011,paddy,5030,9850,1958
12,Okhaldhunga,1074,easter d,hill,2011/2012,paddy,6573,14000,2130
12,Okhaldhunga,1074,easter d,hill,2012/2013,paddy,6244,14361,2300
12,Okhaldhunga,1074,easter d,hill,2013/2014,paddy,4350,11310,2600
12,Okhaldhunga,1074,easter d,hill,2014/2015,paddy,4355,10310,2367
13,Khotang,1591,easter d,hill,2000/2001,paddy,12051,24090,1999
13,Khotang,1591,easter d,hill,2001/2002,paddy,12050,27880,2314
13,Khotang,1591,easter d,hill,2002/2003,paddy,12050,27880,2314
13,Khotang,1591,easter d,hill,2003/2004,paddy,12050,27880,2314
13,Khotang,1591,easter d,hill,2004/2005,paddy,12059,29275,2428
13,Khotang,1591,easter d,hill,2005/2006,paddy,12099,26618,2200
13,Khotang,1591,easter d,hill,2006/2007,paddy,10899,23978,2200
13,Khotang,1591,easter d,hill,2007/2008,paddy,14899,33586,2254
13,Khotang,1591,easter d,hill,2008/2009,paddy,14899,33586,2254
13,Khotang,1591,easter d,hill,2009/2010,paddy,12279,22642,1844
13,Khotang,1591,easter d,hill,2010/2011,paddy,14129,27459,1943
13,Khotang,1591,easter d,hill,2011/2012,paddy,15202,31924,2100
13,Khotang,1591,easter d,hill,2012/2013,paddy,15200,30248,1990
13,Khotang,1591,easter d,hill,2013/2014,paddy,15202,42600,2802
13,Khotang,1591,easter d,hill,2014/2015,paddy,12161,26755,2200
14,Udayapur,2063,easter d,hill,2000/2001,paddy,10629,22298,2098
14,Udayapur,2063,easter d,hill,2001/2002,paddy,12800,37171,2904
14,Udayapur,2063,easter d,hill,2002/2003,paddy,12800,37171,2904
14,Udayapur,2063,easter d,hill,2003/2004,paddy,12800,37171,2904
14,Udayapur,2063,easter d,hill,2004/2005,paddy,13300,38623,2904
14,Udayapur,2063,easter d,hill,2005/2006,paddy,13650,36278,2658
14,Udayapur,2063,easter d,hill,2006/2007,paddy,11386,25049,2200
14,Udayapur,2063,easter d,hill,2007/2008,paddy,13300,38703,2910
14,Udayapur,2063,easter d,hill,2008/2009,paddy,14150,42262,2987
14,Udayapur,2063,easter d,hill,2009/2010,paddy,14050,39340,2800
14,Udayapur,2063,easter d,hill,2010/2011,paddy,15500,42625,2750
14,Udayapur,2063,easter d,hill,2011/2012,paddy,16857,50700,3008
14,Udayapur,2063,easter d,hill,2012/2013,paddy,11625,43594,3750
14,Udayapur,2063,easter d,hill,2013/2014,paddy,15250,52850,3466
14,Udayapur,2063,easter d,hill,2014/2015,paddy,12100,47945,3962
15,Saptari,1363,easter d,terai,2000/2001,paddy,69190,165650,2394
15,Saptari,1363,easter d,terai,2001/2002,paddy,70190,168855,2406
15,Saptari,1363,easter d,terai,2002/2003,paddy,70000,196589,2808
15,Saptari,1363,easter d,terai,2003/2004,paddy,70000,196589,2808
15,Saptari,1363,easter d,terai,2004/2005,paddy,67000,201000,3000
15,Saptari,1363,easter d,terai,2005/2006,paddy,68000,157500,2316
15,Saptari,1363,easter d,terai,2006/2007,paddy,52000,95680,1840
15,Saptari,1363,easter d,terai,2007/2008,paddy,68000,153000,2250
15,Saptari,1363,easter d,terai,2008/2009,paddy,68400,173500,2537
15,Saptari,1363,easter d,terai,2009/2010,paddy,59903,150724,2516
15,Saptari,1363,easter d,terai,2010/2011,paddy,37691,116842,3100
15,Saptari,1363,easter d,terai,2011/2012,paddy,60000,177000,2950
15,Saptari,1363,easter d,terai,2012/2013,paddy,30219,60388,1998
15,Saptari,1363,easter d,terai,2013/2014,paddy,35000,90500,2586
15,Saptari,1363,easter d,terai,2014/2015,paddy,35000,95000,2714
16,Siraha,1188,easter d,terai,2000/2001,paddy,69235,159861,2309
16,Siraha,1188,easter d,terai,2001/2002,paddy,71800,193788,2699
16,Siraha,1188,easter d,terai,2002/2003,paddy,71300,203788,2858
16,Siraha,1188,easter d,terai,2003/2004,paddy,71300,203788,2858
16,Siraha,1188,easter d,terai,2004/2005,paddy,69337,201077,2900
16,Siraha,1188,easter d,terai,2005/2006,paddy,67972,189435,2787
16,Siraha,1188,easter d,terai,2006/2007,paddy,57400,117670,2050
16,Siraha,1188,easter d,terai,2007/2008,paddy,70750,156358,2210
16,Siraha,1188,easter d,terai,2008/2009,paddy,70750,164176,2321
16,Siraha,1188,easter d,terai,2009/2010,paddy,63000,107100,1700
16,Siraha,1188,easter d,terai,2010/2011,paddy,45570,95697,2100
16,Siraha,1188,easter d,terai,2011/2012,paddy,61000,175150,2871
16,Siraha,1188,easter d,terai,2012/2013,paddy,31175,53814,1726
16,Siraha,1188,easter d,terai,2013/2014,paddy,38788,98303,2534
16,Siraha,1188,easter d,terai,2014/2015,paddy,36000,95300,2647
17,Dhanusa,1180,central,terai,2000/2001,paddy,60000,129960,2778
17,Dhanusa,1180,central,terai,2001/2002,paddy,63500,177800,2166
17,Dhanusa,1180,central,terai,2002/2003,paddy,63500,177800,2800
17,Dhanusa,1180,central,terai,2003/2004,paddy,58000,141926,2800
17,Dhanusa,1180,central,terai,2004/2005,paddy,61260,150825,2447
17,Dhanusa,1180,central,terai,2005/2006,paddy,52700,110143,2462
17,Dhanusa,1180,central,terai,2006/2007,paddy,54790,161630,2090
17,Dhanusa,1180,central,terai,2007/2008,paddy,55000,176000,2950
17,Dhanusa,1180,central,terai,2008/2009,paddy,54462,164124,3200
17,Dhanusa,1180,central,terai,2009/2010,paddy,61972,173521,3014
17,Dhanusa,1180,central,terai,2010/2011,paddy,65000,185250,2800
17,Dhanusa,1180,central,terai,2011/2012,paddy,65000,185250,2850
17,Dhanusa,1180,central,terai,2012/2013,paddy,45790,125054,2731
17,Dhanusa,1180,central,terai,2013/2014,paddy,40635,116647,2871
17,Dhanusa,1180,central,terai,2014/2015,paddy,44200,141440,3200
18,Mahottari,1002,central,terai,2000/2001,paddy,48330,121063,2505
18,Mahottari,1002,central,terai,2001/2002,paddy,48284,96594,2001
18,Mahottari,1002,central,terai,2002/2003,paddy,48284,121190,2510
18,Mahottari,1002,central,terai,2003/2004,paddy,48284,121190,2510
18,Mahottari,1002,central,terai,2004/2005,paddy,40673,104165,2561
18,Mahottari,1002,central,terai,2005/2006,paddy,44050,98165,2228
18,Mahottari,1002,central,terai,2006/2007,paddy,33499,66998,2000
18,Mahottari,1002,central,terai,2007/2008,paddy,46000,115000,2500
18,Mahottari,1002,central,terai,2008/2009,paddy,40250,95500,2373
18,Mahottari,1002,central,terai,2009/2010,paddy,36195,67791,1873
18,Mahottari,1002,central,terai,2010/2011,paddy,34776,78440,2256
18,Mahottari,1002,central,terai,2011/2012,paddy,34776,97372,2800
18,Mahottari,1002,central,terai,2012/2013,paddy,28160,83584,2968
18,Mahottari,1002,central,terai,2013/2014,paddy,36144,65060,1800
18,Mahottari,1002,central,terai,2014/2015,paddy,29400,90500,3078
19,Sarlahi,1259,central,terai,2000/2001,paddy,44215,123925,2803
19,Sarlahi,1259,central,terai,2001/2002,paddy,42831,106649,2490
19,Sarlahi,1259,central,terai,2002/2003,paddy,42831,114747,2679
19,Sarlahi,1259,central,terai,2003/2004,paddy,42831,114747,2679
19,Sarlahi,1259,central,terai,2004/2005,paddy,37821,97196,2570
19,Sarlahi,1259,central,terai,2005/2006,paddy,40974,95417,2329
19,Sarlahi,1259,central,terai,2006/2007,paddy,37156,84716,2280
19,Sarlahi,1259,central,terai,2007/2008,paddy,38750,90000,2323
19,Sarlahi,1259,central,terai,2008/2009,paddy,38750,96480,2490
19,Sarlahi,1259,central,terai,2009/2010,paddy,38405,95355,2483
19,Sarlahi,1259,central,terai,2010/2011,paddy,39350,111360,2830
19,Sarlahi,1259,central,terai,2011/2012,paddy,39352,143635,3650
19,Sarlahi,1259,central,terai,2012/2013,paddy,38400,92905,2419
19,Sarlahi,1259,central,terai,2013/2014,paddy,45500,112985,2483
19,Sarlahi,1259,central,terai,2014/2015,paddy,45500,127400,2800
20,Sindhuli,2491,central,hill,2000/2001,paddy,5964,14225,2385
20,Sindhuli,2491,central,hill,2001/2002,paddy,6400,16000,2500
20,Sindhuli,2491,central,hill,2002/2003,paddy,6400,16000,2500
20,Sindhuli,2491,central,hill,2003/2004,paddy,6400,16000,2500
20,Sindhuli,2491,central,hill,2004/2005,paddy,6540,16252,2485
20,Sindhuli,2491,central,hill,2005/2006,paddy,6565,14443,2200
20,Sindhuli,2491,central,hill,2006/2007,paddy,6065,11143,1837
20,Sindhuli,2491,central,hill,2007/2008,paddy,6065,11143,1837
20,Sindhuli,2491,central,hill,2008/2009,paddy,6065,11143,1837
20,Sindhuli,2491,central,hill,2009/2010,paddy,6265,13100,2091
