dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,amillet,pmillet,ymillet
6,Sunsari,1257,easter d,terai,2011/2012,Millet,800,744,930
6,Sunsari,1257,easter d,terai,2012/2013,Millet,1185,1078,910
6,Sunsari,1257,easter d,terai,2013/2014,Millet,1200,1100,917
6,Sunsari,1257,easter d,terai,2014/2015,Millet,680,714,1050
7,Dhankuta,891,easter d,hill,2000/2001,Millet,6060,4800,792
7,Dhankuta,891,easter d,hill,2001/2002,Millet,8120,8038,990
7,Dhankuta,891,easter d,hill,2002/2003,Millet,8120,8038,990
7,Dhankuta,891,easter d,hill,2003/2004,Millet,8120,8038,990
7,Dhankuta,891,easter d,hill,2004/2005,Millet,8103,9012,1112
7,Dhankuta,891,easter d,hill,2005/2006,Millet,8125,8025,988
7,Dhankuta,891,easter d,hill,2006/2007,Millet,7094,7059,995
7,Dhankuta,891,easter d,hill,2007/2008,Millet,8129,7966,980
7,Dhankuta,891,easter d,hill,2008/2009,Millet,8129,8563,1053
7,Dhankuta,891,easter d,hill,2009/2010,Millet,8080,9091,1125
7,Dhankuta,891,easter d,hill,2010/2011,Millet,8000,8080,1010
7,Dhankuta,891,easter d,hill,2011/2012,Millet,7810,7810,1000
7,Dhankuta,891,easter d,hill,2012/2013,Millet,7780,7780,1000
7,Dhankuta,891,easter d,hill,2013/2014,Millet,8000,8000,1000
7,Dhankuta,891,easter d,hill,2014/2015,Millet,7800,7800,1000
8,Terhathum,679,easter d,hill,2000/2001,Millet,3195,3195,1000
8,Terhathum,679,easter d,hill,2001/2002,Millet,3210,3370,1050
8,Terhathum,679,easter d,hill,2002/2003,Millet,3210,3370,1050
8,Terhathum,679,easter d,hill,2003/2004,Millet,3210,3370,1050
8,Terhathum,679,easter d,hill,2004/2005,Millet,2407,2888,1200
8,Terhathum,679,easter d,hill,2005/2006,Millet,3250,3550,1092
8,Terhathum,679,easter d,hill,2006/2007,Millet,3050,3203,1050
8,Terhathum,679,easter d,hill,2007/2008,Millet,2505,2520,1006
8,Terhathum,679,easter d,hill,2008/2009,Millet,2505,2520,1006
8,Terhathum,679,easter d,hill,2009/2010,Millet,2600,2782,1070
8,Terhathum,679,easter d,hill,2010/2011,Millet,2700,3061,1134
8,Terhathum,679,easter d,hill,2011/2012,Millet,2700,3061,1133
8,Terhathum,679,easter d,hill,2012/2013,Millet,2750,3300,1200
8,Terhathum,679,easter d,hill,2013/2014,Millet,2800,3300,1179
8,Terhathum,679,easter d,hill,2014/2015,Millet,2700,2969,1100
9,Sankhuwasabha,3480,easter d,mountain,2000/2001,Millet,8190,8090,988
9,Sankhuwasabha,3480,easter d,mountain,2001/2002,Millet,8160,7349,901
9,Sankhuwasabha,3480,easter d,mountain,2002/2003,Millet,8160,7349,901
9,Sankhuwasabha,3480,easter d,mountain,2003/2004,Millet,8160,7349,901
9,Sankhuwasabha,3480,easter d,mountain,2004/2005,Millet,9175,10093,1100
9,Sankhuwasabha,3480,easter d,mountain,2005/2006,Millet,9195,9575,1041
9,Sankhuwasabha,3480,easter d,mountain,2006/2007,Millet,9195,9575,1041
9,Sankhuwasabha,3480,easter d,mountain,2007/2008,Millet,9977,9956,998
9,Sankhuwasabha,3480,easter d,mountain,2008/2009,Millet,9977,9956,998
9,Sankhuwasabha,3480,easter d,mountain,2009/2010,Millet,9975,10080,1011
9,Sankhuwasabha,3480,easter d,mountain,2010/2011,Millet,9975,9875,990
9,Sankhuwasabha,3480,easter d,mountain,2011/2012,Millet,9975,9975,1000
9,Sankhuwasabha,3480,easter d,mountain,2012/2013,Millet,9981,10180,1020
9,Sankhuwasabha,3480,easter d,mountain,2013/2014,Millet,7171,7314,1020
9,Sankhuwasabha,3480,easter d,mountain,2014/2015,Millet,7171,7514,1048
10,Bhojpur,1507,easter d,hill,2000/2001,Millet,5005,6207,1240
10,Bhojpur,1507,easter d,hill,2001/2002,Millet,5439,5439,1000
10,Bhojpur,1507,easter d,hill,2002/2003,Millet,5439,5439,1000
10,Bhojpur,1507,easter d,hill,2003/2004,Millet,5439,5439,1000
