dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,amaize,pmaize,ymaize
6,Sunsari,1257,easter d,terai,2013/2014,maize,7800,26500,3397
6,Sunsari,1257,easter d,terai,2014/2015,maize,8350,25050,3000
7,Dhankuta,891,easter d,hill,2000/2001,maize,19890,25022,1258
7,Dhankuta,891,easter d,hill,2001/2002,maize,19890,23813,1700
7,Dhankuta,891,easter d,hill,2002/2003,maize,19200,24190,1260
7,Dhankuta,891,easter d,hill,2003/2004,maize,19200,24190,1260
7,Dhankuta,891,easter d,hill,2004/2005,maize,19985,23382,1170
7,Dhankuta,891,easter d,hill,2005/2006,maize,19950,38105,1910
7,Dhankuta,891,easter d,hill,2006/2007,maize,19973,41943,2100
7,Dhankuta,891,easter d,hill,2007/2008,maize,19985,50960,2550
7,Dhankuta,891,easter d,hill,2008/2009,maize,19985,50960,2550
7,Dhankuta,891,easter d,hill,2009/2010,maize,18875,54750,2901
7,Dhankuta,891,easter d,hill,2010/2011,maize,17779,39736,2235
7,Dhankuta,891,easter d,hill,2011/2012,maize,18200,42450,2332
7,Dhankuta,891,easter d,hill,2012/2013,maize,18200,39312,2160
7,Dhankuta,891,easter d,hill,2013/2014,maize,5450,14975,2748
7,Dhankuta,891,easter d,hill,2014/2015,maize,6785,15500,2284
8,Terhathum,679,easter d,hill,2000/2001,maize,11665,17415,1493
8,Terhathum,679,easter d,hill,2001/2002,maize,11675,17863,1530
8,Terhathum,679,easter d,hill,2002/2003,maize,11675,17863,1530
8,Terhathum,679,easter d,hill,2003/2004,maize,11675,17863,1530
8,Terhathum,679,easter d,hill,2004/2005,maize,11675,19665,1684
8,Terhathum,679,easter d,hill,2005/2006,maize,11675,19614,1680
8,Terhathum,679,easter d,hill,2006/2007,maize,12000,23160,1930
8,Terhathum,679,easter d,hill,2007/2008,maize,12092,16164,1337
8,Terhathum,679,easter d,hill,2008/2009,maize,12092,16164,1337
8,Terhathum,679,easter d,hill,2009/2010,maize,12300,21600,1756
8,Terhathum,679,easter d,hill,2010/2011,maize,12300,21014,1708
8,Terhathum,679,easter d,hill,2011/2012,maize,12350,25935,2100
8,Terhathum,679,easter d,hill,2012/2013,maize,12400,26288,2120
8,Terhathum,679,easter d,hill,2013/2014,maize,12410,27302,2200
8,Terhathum,679,easter d,hill,2014/2015,maize,12350,30875,2500
9,Sankhuwasabha,3480,easter d,mountain,2000/2001,maize,12587,21448,1704
9,Sankhuwasabha,3480,easter d,mountain,2001/2002,maize,12846,21838,1700
9,Sankhuwasabha,3480,easter d,mountain,2002/2003,maize,12846,21838,1700
9,Sankhuwasabha,3480,easter d,mountain,2003/2004,maize,12846,21838,1700
9,Sankhuwasabha,3480,easter d,mountain,2004/2005,maize,12846,22789,1774
9,Sankhuwasabha,3480,easter d,mountain,2005/2006,maize,13087,22623,1729
9,Sankhuwasabha,3480,easter d,mountain,2006/2007,maize,13080,23740,1815
9,Sankhuwasabha,3480,easter d,mountain,2007/2008,maize,14672,28209,1923
9,Sankhuwasabha,3480,easter d,mountain,2008/2009,maize,14672,28209,1923
9,Sankhuwasabha,3480,easter d,mountain,2009/2010,maize,13055,19583,1500
9,Sankhuwasabha,3480,easter d,mountain,2010/2011,maize,14165,28259,1995
9,Sankhuwasabha,3480,easter d,mountain,2011/2012,maize,13055,22193,1700
9,Sankhuwasabha,3480,easter d,mountain,2012/2013,maize,13074,22226,1700
9,Sankhuwasabha,3480,easter d,mountain,2013/2014,maize,12470,17000,1363
9,Sankhuwasabha,3480,easter d,mountain,2014/2015,maize,12000,15000,1250
10,Bhojpur,1507,easter d,hill,2000/2001,maize,20078,38146,1900
10,Bhojpur,1507,easter d,hill,2001/2002,maize,20867,40907,1960
10,Bhojpur,1507,easter d,hill,2002/2003,maize,20867,40907,1960
10,Bhojpur,1507,easter d,hill,2003/2004,maize,20867,40907,1960
10,Bhojpur,1507,easter d,hill,2004/2005,maize,20867,40907,1960
10,Bhojpur,1507,easter d,hill,2005/2006,maize,20867,40907,1960
10,Bhojpur,1507,easter d,hill,2006/2007,maize,20780,43638,2100
10,Bhojpur,1507,easter d,hill,2007/2008,maize,20857,38585,1850
10,Bhojpur,1507,easter d,hill,2008/2009,maize,20857,38585,1850
10,Bhojpur,1507,easter d,hill,2009/2010,maize,21000,42600,2029
10,Bhojpur,1507,easter d,hill,2010/2011,maize,22776,48600,2134
10,Bhojpur,1507,easter d,hill,2011/2012,maize,24790,74370,3000
10,Bhojpur,1507,easter d,hill,2012/2013,maize,25790,76470,2965
10,Bhojpur,1507,easter d,hill,2013/2014,maize,42776,124050,2900
10,Bhojpur,1507,easter d,hill,2014/2015,maize,36360,83735,2303
11,Solukhumbu,3312,easter d,mountain,2000/2001,maize,12900,19995,1550
11,Solukhumbu,3312,easter d,mountain,2001/2002,maize,12910,20100,1557
11,Solukhumbu,3312,easter d,mountain,2002/2003,maize,12910,20100,1557
11,Solukhumbu,3312,easter d,mountain,2003/2004,maize,12910,20100,1557
11,Solukhumbu,3312,easter d,mountain,2004/2005,maize,12910,20100,1557
11,Solukhumbu,3312,easter d,mountain,2005/2006,maize,12910,20100,1557
11,Solukhumbu,3312,easter d,mountain,2006/2007,maize,12910,21689,1680
11,Solukhumbu,3312,easter d,mountain,2007/2008,maize,12950,29100,2247
11,Solukhumbu,3312,easter d,mountain,2008/2009,maize,12950,29100,2247
11,Solukhumbu,3312,easter d,mountain,2009/2010,maize,12955,32388,2500
11,Solukhumbu,3312,easter d,mountain,2010/2011,maize,12955,32388,2500
11,Solukhumbu,3312,easter d,mountain,2011/2012,maize,12955,32388,2500
11,Solukhumbu,3312,easter d,mountain,2012/2013,maize,12955,32517,2510
11,Solukhumbu,3312,easter d,mountain,2013/2014,maize,12955,32517,2510
11,Solukhumbu,3312,easter d,mountain,2014/2015,maize,12955,32517,2510
12,Okhaldhunga,1074,easter d,hill,2000/2001,maize,9700,8730,900
12,Okhaldhunga,1074,easter d,hill,2001/2002,maize,12440,20120,1617
12,Okhaldhunga,1074,easter d,hill,2002/2003,maize,12440,20120,1617
12,Okhaldhunga,1074,easter d,hill,2003/2004,maize,12440,20120,1617
12,Okhaldhunga,1074,easter d,hill,2004/2005,maize,12440,20120,1617
12,Okhaldhunga,1074,easter d,hill,2005/2006,maize,12635,22348,1769
12,Okhaldhunga,1074,easter d,hill,2006/2007,maize,12635,22348,1769
12,Okhaldhunga,1074,easter d,hill,2007/2008,maize,12545,24462,1950
12,Okhaldhunga,1074,easter d,hill,2008/2009,maize,12545,24462,1950
12,Okhaldhunga,1074,easter d,hill,2009/2010,maize,12097,22985,1900
12,Okhaldhunga,1074,easter d,hill,2010/2011,maize,12097,23202,1918
12,Okhaldhunga,1074,easter d,hill,2011/2012,maize,12400,27760,2239
12,Okhaldhunga,1074,easter d,hill,2012/2013,maize,12400,26040,2100
12,Okhaldhunga,1074,easter d,hill,2013/2014,maize,11580,25476,2200
12,Okhaldhunga,1074,easter d,hill,2014/2015,maize,12400,28520,2300
13,Khotang,1591,easter d,hill,2000/2001,maize,21606,34570,1600
13,Khotang,1591,easter d,hill,2001/2002,maize,22000,42150,1916
13,Khotang,1591,easter d,hill,2002/2003,maize,22000,42150,1916
13,Khotang,1591,easter d,hill,2003/2004,maize,22000,42150,1916
13,Khotang,1591,easter d,hill,2004/2005,maize,22500,45000,2000
13,Khotang,1591,easter d,hill,2005/2006,maize,22500,43875,1950
13,Khotang,1591,easter d,hill,2006/2007,maize,22500,43875,1950
13,Khotang,1591,easter d,hill,2007/2008,maize,22580,53687,2378
13,Khotang,1591,easter d,hill,2008/2009,maize,22580,53687,2378
13,Khotang,1591,easter d,hill,2009/2010,maize,22950,49060,2138
13,Khotang,1591,easter d,hill,2010/2011,maize,23000,52000,2261
13,Khotang,1591,easter d,hill,2011/2012,maize,25000,63908,2556
13,Khotang,1591,easter d,hill,2012/2013,maize,31066,69232,2229
13,Khotang,1591,easter d,hill,2013/2014,maize,41060,70378,1714
13,Khotang,1591,easter d,hill,2014/2015,maize,41060,75550,1840
14,Udayapur,2063,easter d,hill,2000/2001,maize,12000,21756,1813
14,Udayapur,2063,easter d,hill,2001/2002,maize,14500,26850,1852
14,Udayapur,2063,easter d,hill,2002/2003,maize,14500,26850,1852
14,Udayapur,2063,easter d,hill,2003/2004,maize,14500,26850,1852
14,Udayapur,2063,easter d,hill,2004/2005,maize,18735,34697,1852
14,Udayapur,2063,easter d,hill,2005/2006,maize,18735,34697,1852
14,Udayapur,2063,easter d,hill,2006/2007,maize,16267,28467,1750
14,Udayapur,2063,easter d,hill,2007/2008,maize,16890,30754,1821
14,Udayapur,2063,easter d,hill,2008/2009,maize,16900,38025,2250
14,Udayapur,2063,easter d,hill,2009/2010,maize,16900,38025,2250
14,Udayapur,2063,easter d,hill,2010/2011,maize,15900,34980,2200
14,Udayapur,2063,easter d,hill,2011/2012,maize,16880,34913.5,2068
14,Udayapur,2063,easter d,hill,2012/2013,maize,9500,23275,2450
14,Udayapur,2063,easter d,hill,2013/2014,maize,9500,23500,2474
14,Udayapur,2063,easter d,hill,2014/2015,maize,9310,22344,2400
15,Saptari,1363,easter d,terai,2000/2001,maize,3000,5700,2500
15,Saptari,1363,easter d,terai,2001/2002,maize,4000,9200,2300
15,Saptari,1363,easter d,terai,2002/2003,maize,4000,9200,2300
15,Saptari,1363,easter d,terai,2003/2004,maize,4000,9200,2300
15,Saptari,1363,easter d,terai,2004/2005,maize,4000,9200,2300
15,Saptari,1363,easter d,terai,2005/2006,maize,4000,9500,2375
15,Saptari,1363,easter d,terai,2006/2007,maize,4000,8000,2000
15,Saptari,1363,easter d,terai,2007/2008,maize,4100,8250,2012
15,Saptari,1363,easter d,terai,2008/2009,maize,4000,8800,2200
15,Saptari,1363,easter d,terai,2009/2010,maize,4000,8000,2000
15,Saptari,1363,easter d,terai,2010/2011,maize,4000,8000,2000
15,Saptari,1363,easter d,terai,2011/2012,maize,4000,8000,2000
15,Saptari,1363,easter d,terai,2012/2013,maize,300,750,2500
15,Saptari,1363,easter d,terai,2013/2014,maize,3500,7800,2229
15,Saptari,1363,easter d,terai,2014/2015,maize,3000,7000,2333
16,Siraha,1188,easter d,terai,2000/2001,maize,2180,5086,2333
16,Siraha,1188,easter d,terai,2001/2002,maize,1475,3540,2400
16,Siraha,1188,easter d,terai,2002/2003,maize,1475,3540,2400
16,Siraha,1188,easter d,terai,2003/2004,maize,1475,3540,2400
16,Siraha,1188,easter d,terai,2004/2005,maize,1500,3750,2500
16,Siraha,1188,easter d,terai,2005/2006,maize,1550,3875,2500
16,Siraha,1188,easter d,terai,2006/2007,maize,2000,5000,2500
16,Siraha,1188,easter d,terai,2007/2008,maize,2100,5040,2400
16,Siraha,1188,easter d,terai,2008/2009,maize,2100,5040,2400
16,Siraha,1188,easter d,terai,2009/2010,maize,2150,4800,2233
16,Siraha,1188,easter d,terai,2010/2011,maize,1800,3600,2000
16,Siraha,1188,easter d,terai,2011/2012,maize,3100,6820,2200
16,Siraha,1188,easter d,terai,2012/2013,maize,1750,3150,1800
16,Siraha,1188,easter d,terai,2013/2014,maize,2000,4000,2000
16,Siraha,1188,easter d,terai,2014/2015,maize,1730,3460,2000
17,Dhanusa,1180,central,terai,2000/2001,maize,2600,5665,2179
17,Dhanusa,1180,central,terai,2001/2002,maize,2500,6500,2600
17,Dhanusa,1180,central,terai,2002/2003,maize,2500,6500,2600
17,Dhanusa,1180,central,terai,2003/2004,maize,2500,6500,2600
17,Dhanusa,1180,central,terai,2004/2005,maize,1400,3500,2500
17,Dhanusa,1180,central,terai,2005/2006,maize,1500,4050,2700
17,Dhanusa,1180,central,terai,2006/2007,maize,1180,3068,2600
17,Dhanusa,1180,central,terai,2007/2008,maize,1250,2850,2280
17,Dhanusa,1180,central,terai,2008/2009,maize,1555,3850,2476
17,Dhanusa,1180,central,terai,2009/2010,maize,2065,4085,1978
17,Dhanusa,1180,central,terai,2010/2011,maize,2365,4967,2100
17,Dhanusa,1180,central,terai,2011/2012,maize,2019,6460.8,3200
17,Dhanusa,1180,central,terai,2012/2013,maize,2019,6662,3300
17,Dhanusa,1180,central,terai,2013/2014,maize,2019,6663,3300
17,Dhanusa,1180,central,terai,2014/2015,maize,2465,7700,3124
18,Mahottari,1002,central,terai,2000/2001,maize,3000,6300,2100
18,Mahottari,1002,central,terai,2001/2002,maize,3250,5850,1800
18,Mahottari,1002,central,terai,2002/2003,maize,3250,5850,1800
18,Mahottari,1002,central,terai,2003/2004,maize,3250,5850,1800
18,Mahottari,1002,central,terai,2004/2005,maize,2850,5850,2053
18,Mahottari,1002,central,terai,2005/2006,maize,2822,5644,2000
18,Mahottari,1002,central,terai,2006/2007,maize,2930,5895,2012
18,Mahottari,1002,central,terai,2007/2008,maize,2930,5860,2000
18,Mahottari,1002,central,terai,2008/2009,maize,2930,5860,2000
18,Mahottari,1002,central,terai,2009/2010,maize,2585,5785,2238
18,Mahottari,1002,central,terai,2010/2011,maize,1935,4050,2093
18,Mahottari,1002,central,terai,2011/2012,maize,2435,6451,2649
18,Mahottari,1002,central,terai,2012/2013,maize,750,1500,2000
18,Mahottari,1002,central,terai,2013/2014,maize,700,1400,2000
18,Mahottari,1002,central,terai,2014/2015,maize,800,2100,2625
19,Sarlahi,1259,central,terai,2000/2001,maize,8500,17815,2096
19,Sarlahi,1259,central,terai,2001/2002,maize,8005,21610,2700
19,Sarlahi,1259,central,terai,2002/2003,maize,8005,21610,2700
19,Sarlahi,1259,central,terai,2003/2004,maize,8005,21610,2700
19,Sarlahi,1259,central,terai,2004/2005,maize,8005,20013,2500
19,Sarlahi,1259,central,terai,2005/2006,maize,8005,21000,2623
19,Sarlahi,1259,central,terai,2006/2007,maize,7500,15375,2050
19,Sarlahi,1259,central,terai,2007/2008,maize,7250,15298,2110
19,Sarlahi,1259,central,terai,2008/2009,maize,7250,15298,2110
19,Sarlahi,1259,central,terai,2009/2010,maize,7540,15500,2056
19,Sarlahi,1259,central,terai,2010/2011,maize,8125,17063,2100
19,Sarlahi,1259,central,terai,2011/2012,maize,10050,41205,4100
